,Date,HE,Area,MW
582,1/25/2023,15,RTO,5205.6
583,1/25/2023,17,RTO,5577.237
584,1/25/2023,18,RTO,5319.932
585,1/25/2023,19,RTO,4919.966
586,1/25/2023,20,RTO,4678.447
587,1/25/2023,21,RTO,4557.889
588,1/25/2023,22,RTO,4758.877
589,1/25/2023,23,RTO,5284.391
590,1/25/2023,24,RTO,5566.468
591,1/26/2023,1,RTO,5736.125
592,1/26/2023,2,RTO,6120.212
593,1/26/2023,3,RTO,6215.1
594,1/26/2023,4,RTO,6626.283
595,1/26/2023,5,RTO,7141.504
596,1/26/2023,6,RTO,7384.041
597,1/26/2023,7,RTO,7549.859
598,1/26/2023,8,RTO,7723.557
599,1/26/2023,9,RTO,7722.497
600,1/26/2023,10,RTO,7952.782
601,1/26/2023,11,RTO,8291.676
602,1/26/2023,12,RTO,8315.385
603,1/26/2023,13,RTO,8223.3
604,1/26/2023,14,RTO,8163.462
605,1/26/2023,15,RTO,8022.813
606,1/26/2023,16,RTO,7711.999
607,1/26/2023,17,RTO,7637.457
608,1/26/2023,18,RTO,7418.287
609,1/26/2023,19,RTO,7100.695
610,1/26/2023,20,RTO,7026.991
611,1/26/2023,21,RTO,7309.546
612,1/26/2023,22,RTO,6712.555
613,1/26/2023,23,RTO,6181.206
614,1/26/2023,24,RTO,5824.28
615,1/27/2023,1,RTO,5581.784
616,1/27/2023,2,RTO,5526.636
617,1/27/2023,3,RTO,5250.817
618,1/27/2023,4,RTO,5650.247
619,1/27/2023,5,RTO,6168.495
620,1/27/2023,6,RTO,6296.664
621,1/27/2023,7,RTO,6558.216
622,1/27/2023,8,RTO,7157.408
623,1/27/2023,9,RTO,7669.495
624,1/27/2023,10,RTO,8064.228
625,1/27/2023,11,RTO,8281.133
626,1/27/2023,12,RTO,8262.21
627,1/27/2023,13,RTO,8346.592
628,1/27/2023,14,RTO,8429.365
629,1/27/2023,15,RTO,8263.694
630,1/27/2023,16,RTO,8141.689
631,1/27/2023,17,RTO,8036.252
632,1/27/2023,18,RTO,7893.16
633,1/27/2023,19,RTO,8032.522
634,1/27/2023,20,RTO,8328.886
635,1/27/2023,21,RTO,8027.433
636,1/27/2023,22,RTO,7817.894
637,1/27/2023,23,RTO,7859.909
638,1/27/2023,24,RTO,7542.966
639,1/28/2023,1,RTO,7125.398
640,1/28/2023,2,RTO,6277.37
641,1/28/2023,3,RTO,4911.243
642,1/28/2023,4,RTO,3629.097
643,1/28/2023,5,RTO,2878.316
644,1/28/2023,6,RTO,2340.924
645,1/28/2023,7,RTO,2275.967
646,1/28/2023,8,RTO,2302.687
647,1/28/2023,9,RTO,2176.925
648,1/28/2023,10,RTO,1938.187
649,1/28/2023,11,RTO,1976.33
650,1/28/2023,12,RTO,2136.609
651,1/28/2023,13,RTO,2387.095
652,1/28/2023,14,RTO,2407.504
653,1/28/2023,15,RTO,2356.121
654,1/28/2023,16,RTO,2522.411
655,1/28/2023,17,RTO,3317.42
656,1/28/2023,18,RTO,3573.718
657,1/28/2023,19,RTO,3848.875
658,1/28/2023,20,RTO,4471.54
659,1/28/2023,21,RTO,4227.857
660,1/28/2023,22,RTO,3851.232
661,1/28/2023,23,RTO,4223.404
662,1/28/2023,24,RTO,4901.328
663,1/29/2023,1,RTO,4956.679
664,1/29/2023,2,RTO,4857.462
665,1/29/2023,3,RTO,4753.716
666,1/29/2023,4,RTO,4489.855
667,1/29/2023,5,RTO,4894.854
668,1/29/2023,6,RTO,4613.332
669,1/29/2023,7,RTO,4544.968
670,1/29/2023,8,RTO,4381.101
671,1/29/2023,9,RTO,4522.942
672,1/29/2023,10,RTO,4290.313
673,1/29/2023,11,RTO,3727.573
674,1/29/2023,12,RTO,3646.024
675,1/29/2023,13,RTO,3250.541
676,1/29/2023,14,RTO,2726.199
677,1/29/2023,15,RTO,2451.875
678,1/29/2023,16,RTO,2290.373
679,1/29/2023,17,RTO,2174.578
680,1/29/2023,18,RTO,1998.346
681,1/29/2023,19,RTO,1610.7
682,1/29/2023,20,RTO,2215.126
683,1/29/2023,21,RTO,1960.693
684,1/29/2023,22,RTO,1601.491
685,1/29/2023,23,RTO,1598.687
686,1/29/2023,24,RTO,1663.453
687,1/30/2023,1,RTO,1878.147
688,1/30/2023,2,RTO,1957.235
689,1/30/2023,3,RTO,2091.485
690,1/30/2023,4,RTO,2394.915
691,1/30/2023,5,RTO,2749.405
692,1/30/2023,6,RTO,2685.605
693,1/30/2023,7,RTO,2846.877
694,1/30/2023,8,RTO,3048.576
695,1/30/2023,9,RTO,3219.795
696,1/30/2023,10,RTO,3531.95
697,1/30/2023,11,RTO,3306.528
698,1/30/2023,12,RTO,3043.692
699,1/30/2023,13,RTO,2789.146
